,Q_in_av,BOD5inav,TCODinav,TSSinav,SALKinav,TNinav,SNHinav,SNOinav,TKNinav,Tempinav,Qeav,BOD5eav,TCODeav,TSSeav,SALKeav,TNeav,SNHeav,SNOeav,TKNeav,Tempeav
Q_in_av,1.0,,,,,,,,,,,,,,,,,,,
BOD5inav,0.004081632653061225,1.0,,,,,,,,,,,,,,,,,,
TCODinav,-0.4236734693877551,0.030204081632653063,1.0,,,,,,,,,,,,,,,,,
TSSinav,-0.4138775510204082,0.004081632653061225,0.9542857142857143,1.0,,,,,,,,,,,,,,,,
SALKinav,-0.4122448979591837,0.012244897959183673,0.9559183673469388,0.9689795918367347,1.0,,,,,,,,,,,,,,,
TNinav,0.03183673469387755,0.05142857142857143,0.08081632653061224,0.07102040816326531,0.07591836734693877,1.0,,,,,,,,,,,,,,
SNHinav,-0.4710204081632653,-0.07265306122448979,0.6816326530612244,0.6751020408163265,0.686530612244898,-0.012244897959183673,1.0,,,,,,,,,,,,,
SNOinav,-0.4595918367346939,-0.07428571428571429,0.5951020408163266,0.5657142857142857,0.5869387755102041,-0.053061224489795916,0.8122448979591836,1.0,,,,,,,,,,,,
TKNinav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Tempinav,-0.4710204081632653,-0.07265306122448979,0.6816326530612244,0.6751020408163265,0.686530612244898,-0.012244897959183673,1.0,0.8122448979591836,0.0,1.0,,,,,,,,,,
Qeav,1.0,0.004081632653061225,-0.4236734693877551,-0.4138775510204082,-0.4122448979591837,0.03183673469387755,-0.4710204081632653,-0.4595918367346939,0.0,-0.4710204081632653,1.0,,,,,,,,,
BOD5eav,-0.0024489795918367346,0.9934693877551021,0.036734693877551024,0.010612244897959184,0.018775510204081632,0.044897959183673466,-0.06612244897959184,-0.06775510204081632,0.0,-0.06612244897959184,-0.0024489795918367346,1.0,,,,,,,,
TCODeav,0.7453061224489796,-0.17877551020408164,-0.4008163265306122,-0.3942857142857143,-0.3926530612244898,-0.04326530612244898,-0.4448979591836735,-0.44979591836734695,0.0,-0.4448979591836735,0.7453061224489796,-0.1853061224489796,1.0,,,,,,,
TSSeav,0.20489795918367346,-0.04326530612244898,0.03836734693877551,0.054693877551020405,0.04979591836734694,0.3306122448979592,-0.04163265306122449,-0.14775510204081632,0.0,-0.04163265306122449,0.20489795918367346,-0.04979591836734694,0.2506122448979592,1.0,,,,,,
SALKeav,0.8269387755102041,-0.03836734693877551,-0.3746938775510204,-0.3746938775510204,-0.3730612244897959,0.09714285714285714,-0.4448979591836735,-0.47591836734693876,0.0,-0.4448979591836735,0.8269387755102041,-0.044897959183673466,0.8040816326530612,0.276734693877551,1.0,,,,,
TNeav,0.33877551020408164,0.2016326530612245,-0.3795918367346939,-0.3730612244897959,-0.3746938775510204,-0.08408163265306122,-0.4987755102040816,-0.49387755102040815,0.0,-0.4987755102040816,0.33877551020408164,0.2016326530612245,0.2897959183673469,-0.07102040816326531,0.3028571428571429,1.0,,,,
SNHeav,0.20489795918367346,-0.22285714285714286,-0.21959183673469387,-0.2163265306122449,-0.2179591836734694,0.03346938775510204,-0.10040816326530612,-0.08244897959183674,0.0,-0.10040816326530612,0.20489795918367346,-0.21959183673469387,0.2506122448979592,0.030204081632653063,0.1983673469387755,-0.2016326530612245,1.0,,,
SNOeav,0.5755102040816327,-0.29306122448979594,-0.2963265306122449,-0.2897959183673469,-0.2816326530612245,-0.07265306122448979,-0.21959183673469387,-0.22122448979591836,0.0,-0.21959183673469387,0.5755102040816327,-0.29306122448979594,0.7093877551020408,0.1363265306122449,0.5918367346938775,0.16244897959183674,0.3681632653061224,1.0,,
TKNeav,-0.06448979591836734,-0.25387755102040815,-0.015510204081632653,-0.008979591836734694,-0.013877551020408163,-0.004081632653061225,0.11346938775510204,0.14122448979591837,0.0,0.11346938775510204,-0.06448979591836734,-0.2506122448979592,-0.018775510204081632,-0.08897959183673469,-0.06775510204081632,-0.4220408163265306,0.7110204081632653,0.08244897959183674,1.0,
Tempeav,0.7093877551020408,-0.1657142857142857,-0.29959183673469386,-0.30612244897959184,-0.2946938775510204,-0.010612244897959184,-0.2783673469387755,-0.28,0.0,-0.2783673469387755,0.7093877551020408,-0.17224489795918368,0.7812244897959184,0.19183673469387755,0.7420408163265306,0.2146938775510204,0.32571428571428573,0.846530612244898,0.036734693877551024,1.0
