,Q_in_av,BOD5inav,TCODinav,TSSinav,SALKinav,TNinav,SNHinav,SNOinav,TKNinav,Tempinav,Qeav,BOD5eav,TCODeav,TSSeav,SALKeav,TNeav,SNHeav,SNOeav,TKNeav,Tempeav
Q_in_av,1.0,,,,,,,,,,,,,,,,,,,
BOD5inav,0.15279032991512145,1.0000000000000002,,,,,,,,,,,,,,,,,,
TCODinav,-0.8295905181117427,-0.06043881335334666,1.0,,,,,,,,,,,,,,,,,
TSSinav,-0.8357106659011841,-0.06891463889486288,0.9992830959018562,1.0,,,,,,,,,,,,,,,,
SALKinav,-0.834230932668611,-0.07005632314607645,0.9992328302347613,0.9996050709431482,1.0,,,,,,,,,,,,,,,
TNinav,-0.04454080722930339,0.2805622928283938,0.07317605622160162,0.07723391485588012,0.07108560317745441,1.0000000000000002,,,,,,,,,,,,,,
SNHinav,-0.8907595265958322,-0.15429868017913273,0.9504747632294177,0.9535885724440959,0.9527298468894092,0.03142613800199045,1.0,,,,,,,,,,,,,
SNOinav,-0.8640807530000215,-0.166148914590075,0.9010045255590619,0.9016075993154853,0.9015130500924643,-0.0009475517742875507,0.9707589898875082,1.0000000000000002,,,,,,,,,,,,
TKNinav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Tempinav,-0.8907595265958322,-0.15429868017913273,0.9504747632294177,0.9535885724440959,0.9527298468894092,0.03142613800199045,1.0,0.9707589898875082,0.0,1.0,,,,,,,,,,
Qeav,1.0,0.15279032991512145,-0.8295905181117427,-0.8357106659011841,-0.834230932668611,-0.04454080722930339,-0.8907595265958322,-0.8640807530000215,0.0,-0.8907595265958322,1.0,,,,,,,,,
BOD5eav,0.14550958479251627,0.9989096909377491,-0.05721521394384918,-0.06587695395026255,-0.06682995093552926,0.2404913115591992,-0.14813214182190104,-0.15806177239706484,0.0,-0.14813214182190104,0.14550958479251627,1.0,,,,,,,,
TCODeav,0.788619406928949,0.10392111251120785,-0.5788157693522893,-0.5833126394165895,-0.5849828413119166,-0.022678298599456647,-0.6234316039096771,-0.599282354607097,0.0,-0.6234316039096771,0.788619406928949,0.09796910992751176,1.0,,,,,,,
TSSeav,0.433155945996805,0.06445721067833701,-0.1618456663852049,-0.1630823072102917,-0.16376275060877907,0.0748907119771169,-0.2663335714096095,-0.3230829764271429,0.0,-0.2663335714096095,0.433155945996805,0.053982163021595087,0.7274981278058321,0.9999999999999999,,,,,,
SALKeav,0.954922744369026,0.15477698426897993,-0.759235928014366,-0.7650773200456717,-0.764356713684403,-0.012189404084515083,-0.8237285053738332,-0.8036348521261839,0.0,-0.8237285053738332,0.954922744369026,0.14599826549144795,0.9232017642847528,0.6277236924093662,1.0,,,,,
TNeav,0.8434317297093253,0.2747513774584109,-0.7859900897567224,-0.7926868990067167,-0.794018317224258,-0.008698873014453996,-0.8531846199561279,-0.8227146237504847,0.0,-0.8531846199561279,0.8434317297093253,0.27174508094280625,0.6243417730895418,0.17242529608163978,0.7705724001952223,1.0,,,,
SNHeav,0.26593041095138803,-0.3957582237041513,-0.3017080693457727,-0.2941451845127931,-0.2923891276550479,-0.2443135273499962,-0.17507450327695895,-0.16923055895275776,0.0,-0.17507450327695895,0.26593041095138803,-0.39497444086645106,0.22461386112999085,0.0965123300592265,0.25808725411041233,-0.10534477829797641,1.0,,,
SNOeav,0.865138176413815,-0.09045535179836288,-0.655354143481135,-0.661200771730379,-0.6589796543290616,-0.11459474722272163,-0.6619775310076587,-0.6276311251557797,0.0,-0.6619775310076587,0.865138176413815,-0.09508532658437852,0.812386023109516,0.4764102701848835,0.8690253485478606,0.6462800469140041,0.4398303759805797,1.0,,
TKNeav,-0.2969037183556815,-0.4339658478065799,0.12758086575596012,0.13928248460627674,0.14013518735687536,-0.21299837152101347,0.2809628963489657,0.2696169680655853,0.0,0.2809628963489657,-0.2969037183556815,-0.42911135562813324,-0.30931785810150575,-0.24016097271395817,-0.3169312041890652,-0.5580250163635754,0.8209529041604926,-0.13843356396099543,0.9999999999999999,
Tempeav,0.9372781707963864,0.034185638693185215,-0.721922198952435,-0.7281371711231305,-0.7265382612976368,-0.06847780062375707,-0.7565573693148872,-0.7280934350626136,0.0,-0.7565573693148872,0.9372781707963864,0.0275993559464804,0.8871795408077322,0.5562054457372884,0.9566009414648875,0.7311289583611326,0.3632911338044122,0.974826739107741,-0.2337380849896976,0.9999999999999999
