,Q_in_av,BOD5inav,TCODinav,TSSinav,SALKinav,TNinav,SNHinav,SNOinav,TKNinav,Tempinav,Qeav,BOD5eav,TCODeav,TSSeav,SALKeav,TNeav,SNHeav,SNOeav,TKNeav,Tempeav
Q_in_av,1.0,,,,,,,,,,,,,,,,,,,
BOD5inav,0.009459783913565426,1.0,,,,,,,,,,,,,,,,,,
TCODinav,-0.5015606242496998,0.04124849939975991,1.0,,,,,,,,,,,,,,,,,
TSSinav,-0.497046818727491,0.020024009603841538,0.9938535414165667,1.0,,,,,,,,,,,,,,,,
SALKinav,-0.49339735894357745,0.0251140456182473,0.9948139255702281,0.9965426170468187,1.0,,,,,,,,,,,,,,,
TNinav,0.04336134453781513,0.12374549819927971,0.11442977190876351,0.10290516206482593,0.11615846338535414,1.0,,,,,,,,,,,,,,
SNHinav,-0.5936614645858344,-0.11951980792316927,0.8507563025210084,0.8473949579831933,0.8533493397358943,-0.021176470588235293,1.0,,,,,,,,,,,,,
SNOinav,-0.6028811524609844,-0.11673469387755102,0.764609843937575,0.7438655462184874,0.7544297719087635,-0.06468187274909964,0.9353661464585834,1.0,,,,,,,,,,,,
TKNinav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Tempinav,-0.5936614645858344,-0.11951980792316927,0.8507563025210084,0.8473949579831933,0.8533493397358943,-0.021176470588235293,1.0,0.9353661464585834,0.0,1.0,,,,,,,,,,
Qeav,1.0,0.009459783913565426,-0.5015606242496998,-0.497046818727491,-0.49339735894357745,0.04336134453781513,-0.5936614645858344,-0.6028811524609844,0.0,-0.5936614645858344,1.0,,,,,,,,,
BOD5eav,0.005426170468187275,0.999327731092437,0.04749099639855942,0.026362545018007204,0.03145258103241297,0.11558223289315726,-0.11442977190876351,-0.1119327731092437,0.0,-0.11442977190876351,0.005426170468187275,1.0,,,,,,,,
TCODeav,0.8918607442977191,-0.27010804321728693,-0.5466026410564225,-0.5359423769507803,-0.5377671068427371,-0.04364945978391357,-0.5968307322929172,-0.6212244897959184,0.0,-0.5968307322929172,0.8918607442977191,-0.2729891956782713,1.0,,,,,,,
TSSeav,0.24821128451380553,-0.05690276110444178,0.06986794717887154,0.08475390156062425,0.07620648259303721,0.47995198079231693,-0.059207683073229295,-0.19452581032412966,0.0,-0.059207683073229295,0.24821128451380553,-0.06429771908763506,0.3087154861944778,1.0,,,,,,
SALKeav,0.9456422569027612,-0.04902761104441777,-0.48811524609843937,-0.4836014405762305,-0.4817767106842737,0.14343337334933973,-0.5885714285714285,-0.6280432172869148,0.0,-0.5885714285714285,0.9456422569027612,-0.057190876350540217,0.9228811524609843,0.3434813925570228,1.0,,,,,
TNeav,0.4798559423769508,0.3013205282112845,-0.5191356542617047,-0.5170228091236495,-0.5152941176470588,-0.1288355342136855,-0.6557022809123649,-0.6605042016806723,0.0,-0.6557022809123649,0.4798559423769508,0.30036014405762307,0.42751500600240094,-0.09915966386554621,0.43721488595438174,1.0,,,,
SNHeav,0.3085234093637455,-0.3139015606242497,-0.325234093637455,-0.32062424969987996,-0.3167827130852341,0.05018007202881152,-0.13661464585834335,-0.1146218487394958,0.0,-0.13661464585834335,0.3085234093637455,-0.3104441776710684,0.38141656662665063,0.041152460984393756,0.31620648259303724,-0.26002400960384153,1.0,,,
SNOeav,0.7602881152460984,-0.42703481392557024,-0.44115246098439376,-0.43250900360144057,-0.4248259303721489,-0.10328931572629052,-0.3467466986794718,-0.359327731092437,0.0,-0.3467466986794718,0.7602881152460984,-0.4283793517406963,0.8717887154861945,0.19817527010804323,0.7633613445378151,0.25656662665066027,0.5157743097238896,1.0,,
TKNeav,-0.08715486194477791,-0.37709483793517407,-0.0182953181272509,-0.010228091236494598,-0.010228091236494598,0.006674669867947179,0.18463385354141656,0.20566626650660264,0.0,0.18463385354141656,-0.08715486194477791,-0.37162064825930374,-0.022809123649459785,-0.1363265306122449,-0.08552220888355343,-0.5776230492196879,0.8085954381752701,0.10789915966386554,1.0,
Tempeav,0.8699639855942377,-0.260984393757503,-0.4401920768307323,-0.4358703481392557,-0.42789915966386555,-0.005906362545018007,-0.4133013205282113,-0.436062424969988,0.0,-0.4133013205282113,0.8699639855942377,-0.2630012004801921,0.9211524609843937,0.24273709483793518,0.8765906362545018,0.34021608643457385,0.47697478991596637,0.9620648259303721,0.05190876350540216,1.0
